found,company,score,signals,why,evidence_url,more_evidence,website,sources
2026-09-26,Nebius,40,sandbox_job;recent_hiring,"+30 job ""Senior Hypervisor Engineer"" mentions untrusted code | +10 posted ""Senior Research Scientist (Architectures Research)"" on 2026-09-26",https://www.arbeitnow.co.uk/jobs/companies/nebius/senior-hypervisor-engineer-london-395469,https://www.arbeitnow.co.uk/jobs/companies/nebius/senior-research-scientist-architectures-research-335775,,arbeitnow
2026-09-26,Recare Deutschland GmbH,40,sandbox_job;recent_hiring,"+30 job ""Lead Security Engineer (m/w/d)"" mentions sandbox | +10 posted ""Senior AI Product Designer  (m/w/d)"" on 2026-09-25",https://www.arbeitnow.com/jobs/companies/recare-deutschland-gmbh/remote-lead-security-engineer-berlin-30087,https://www.arbeitnow.com/jobs/companies/recare-deutschland-gmbh/remote-senior-ai-product-designer-berlin-166115,,arbeitnow
