found,company,score,signals,why,evidence_url,more_evidence,website,sources
2026-09-25,Manex AI GmbH,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""AI Agent Engineer (f/m/d)"" mentions code execution, sandbox | +20 job ""Software Engineer (f/m/d)"" describes an AI-agent product | +10 posted ""Software Engineer (f/m/d)"" on 2026-09-24",https://www.arbeitnow.com/jobs/companies/manex-ai-gmbh/ai-agent-engineer-munich-317268,https://www.arbeitnow.com/jobs/companies/manex-ai-gmbh/software-engineer-munich-183229,,arbeitnow
2026-09-25,Sim,60,competitor_sdk;ai_agent,+40 simstudioai/sim imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/simstudioai/sim/blob/ab2fe4a7c4f4123eca4dfd7e2cb4959860bc2de6/apps/sim/package.json,https://github.com/simstudioai,https://sim.ai,github
2026-09-25,VoltAgent,60,competitor_sdk;ai_agent,+40 VoltAgent/voltagent imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/VoltAgent/voltagent/blob/44b4c8e4998ce56095b2f0e4eaf1a988f5e6d0de/packages/sandbox-daytona/package.json,https://github.com/VoltAgent,https://voltagent.dev,github
2026-09-25,Cap,40,competitor_sdk,+40 CapSoftware/Cap imports the Daytona SDK,https://github.com/CapSoftware/Cap/blob/119edf04864b59abfc0d52f60bf77d7f33cfd2b8/.agents/skills/building/package.json,,https://cap.so,github
2026-09-25,davis7,40,competitor_sdk,+40 davis7dotsh/better-context imports the Daytona SDK,https://github.com/davis7dotsh/better-context/blob/864e5ba452566c318d60f75229882233b2a5c120/apps/web/package.json,,https://davis7.sh,github
2026-09-25,HackerAI,40,competitor_sdk,+40 hackerai-tech/hackerai imports the E2B SDK,https://github.com/hackerai-tech/hackerai/blob/72edb94b8f248270b6836edd8b1803c3b14ce637/package.json,,https://hackerai.co/,github
2026-09-25,Mistral.ai,40,sandbox_job;recent_hiring,"+30 job ""Engineering Team Lead, Sandbox"" mentions Firecracker, microVM, sandbox | +10 posted ""Head of FDE Learning Programs"" on 2026-09-24",https://www.arbeitnow.fr/jobs/companies/mistralai/engineering-team-lead-sandbox-paris-442144,https://www.arbeitnow.fr/jobs/companies/mistralai/head-of-fde-learning-programs-paris-297033,,arbeitnow
2026-09-25,Paperclip,40,competitor_sdk,+40 paperclipai/paperclip imports the Daytona SDK,https://github.com/paperclipai/paperclip/blob/efce9356b553a08f77a5877bb0ceac68d2cc4ad8/packages/plugins/sandbox-providers/daytona/package.json,,https://paperclip.ing/,github
2026-09-25,Pipedream,40,competitor_sdk,+40 PipedreamHQ/pipedream imports the Daytona SDK,https://github.com/PipedreamHQ/pipedream/blob/c9f43d513b2e16830db6d59e93d1d784a5b86901/components/daytona/package.json,,https://pipedream.com,github
