found,company,score,signals,why,evidence_url,more_evidence,website,sources
2026-09-24,Apodex,60,competitor_sdk;ai_agent,+40 ApodexAI/FrontierAgent imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/ApodexAI/FrontierAgent/blob/9e533db6f6c34d16037ee5ec964c479d0eb51cde/plugins/tools/_sandbox.py,https://github.com/ApodexAI,www.apodex.com,github
2026-09-24,Data Intelligence Lab@HKU,60,competitor_sdk;ai_agent,+40 HKUDS/AnyTool imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/HKUDS/AnyTool/blob/506430fec13300853b2010e2604ae0c71b940502/anytool/grounding/core/security/e2b_sandbox.py,https://github.com/HKUDS,https://sites.google.com/view/chaoh,github
2026-09-24,Npv,60,sandbox_job;ai_agent;recent_hiring,"+30 job ""ML Infrastructure Engineer"" mentions sandbox | +20 job ""ML Infrastructure Engineer"" describes an AI-agent product | +10 posted ""ML Research Engineer"" on 2026-09-23",https://www.arbeitnow.fr/jobs/companies/npv/ml-infrastructure-engineer-paris-383038,https://www.arbeitnow.fr/jobs/companies/npv/ml-research-engineer-paris-287886,,arbeitnow
2026-09-24,LLM Kira,40,competitor_sdk,+40 LlmKira/Openaibot imports the E2B SDK,https://github.com/LlmKira/Openaibot/blob/68b095393790daee3e935339ced6bb03b0c3db2f/llmkira/extra/plugins/e2b_code_interpreter/__init__.py,,https://llmkira.github.io/Docs,github
2026-09-24,promptfoo,40,competitor_sdk_example;ai_agent,+20 promptfoo/promptfoo uses the E2B SDK in an example or integration | +20 GitHub profile or repo describes AI agents,https://github.com/promptfoo/promptfoo/blob/4f7c400e4e54374b86eebca6e125ef5e9108d4e3/examples/integration-e2b/swe_runner.py,https://github.com/promptfoo,https://promptfoo.dev,github
2026-09-24,Xai,40,sandbox_job;recent_hiring,"+30 job ""Member of Technical Staff - Sandbox Service"" mentions gVisor | +10 posted ""Software Engineer - X Money"" on 2026-09-24",https://www.arbeitnow.co.uk/jobs/companies/xai/member-of-technical-staff-sandbox-service-london-207282,https://www.arbeitnow.co.uk/jobs/companies/xai/software-engineer-x-money-london-236023,,arbeitnow
